AID,ChEMBLID,BAO
1288031,CHEMBL3110730,BAO_0000219
1288029,CHEMBL3110728,BAO_0000219
789822,CHEMBL1925083,BAO_0000357
789821,CHEMBL1925082,BAO_0000357
603748,CHEMBL1039373,BAO_0000357
603747,CHEMBL1039372,BAO_0000357
1832961,CHEMBL4332969,BAO_0000019
1832960,CHEMBL4332968,BAO_0000019
510957,CHEMBL1007291,BAO_0000219
510960,CHEMBL1003147,BAO_0000219
1350747,CHEMBL3266132,BAO_0000219
1350746,CHEMBL3266131,BAO_0000357
1736351,CHEMBL4151887,BAO_0000219
1736348,CHEMBL4151884,BAO_0000357
649241,CHEMBL1218939,BAO_0000019
649226,CHEMBL1218924,BAO_0000019
1859087,CHEMBL4359943,BAO_0000019
1859084,CHEMBL4359940,BAO_0000019
1670395,CHEMBL4020283,BAO_0000219
1670329,CHEMBL4020217,BAO_0000357
1900329,CHEMBL4402444,BAO_0000357
1900331,CHEMBL4402446,BAO_0000221
1841433,CHEMBL4341732,BAO_0000019
1841426,CHEMBL4341725,BAO_0000219
1467746,CHEMBL3412172,BAO_0000219
1467740,CHEMBL3412166,BAO_0000019
1467749,CHEMBL3412175,BAO_0000219
1467748,CHEMBL3412174,BAO_0000219
1287777,CHEMBL3111609,BAO_0000219
1287775,CHEMBL3111607,BAO_0000219
1545986,CHEMBL3749262,BAO_0000219
1545985,CHEMBL3749261,BAO_0000357
321621,CHEMBL871630,BAO_0000219
321618,CHEMBL871627,BAO_0000219
1697859,CHEMBL4048749,BAO_0000019
1697846,CHEMBL4048736,BAO_0000219
1574502,CHEMBL3804128,BAO_0000219
1574500,CHEMBL3804126,BAO_0000357
743546,CHEMBL1767987,BAO_0000219
743545,CHEMBL1767986,BAO_0000219
1574503,CHEMBL3804129,BAO_0000219
1574501,CHEMBL3804127,BAO_0000357
1613063,CHEMBL3854863,BAO_0000219
1613067,CHEMBL3854867,BAO_0000219
334679,CHEMBL853627,BAO_0000219
334677,CHEMBL853089,BAO_0000219
334678,CHEMBL853090,BAO_0000357
1769748,CHEMBL4221860,BAO_0000219
1769749,CHEMBL4221861,BAO_0000357
1769747,CHEMBL4221859,BAO_0000219
1766677,CHEMBL4201924,BAO_0000357
1766678,CHEMBL4201925,BAO_0000357
1471542,CHEMBL3420277,BAO_0000357
1471540,CHEMBL3420275,BAO_0000219
962504,CHEMBL2390546,BAO_0000219
962508,CHEMBL2390550,BAO_0000357
962507,CHEMBL2390549,BAO_0000219
1909470,CHEMBL4411916,BAO_0000219
1909469,CHEMBL4411915,BAO_0000357
973097,CHEMBL2412860,BAO_0000219
973099,CHEMBL2412862,BAO_0000357
1338698,CHEMBL3242036,BAO_0000357
1338695,CHEMBL3242033,BAO_0000219
1338694,CHEMBL3242032,BAO_0000219
775646,CHEMBL1913330,BAO_0000219
775706,CHEMBL1912091,BAO_0000357
1666747,CHEMBL4016543,BAO_0000219
1666744,CHEMBL4016540,BAO_0000357
1712829,CHEMBL4122878,BAO_0000357
1712831,CHEMBL4122880,BAO_0000357
1671471,CHEMBL4021500,BAO_0000219
1671470,CHEMBL4021499,BAO_0000357
1275454,CHEMBL3090388,BAO_0000357
1275453,CHEMBL3090387,BAO_0000357
776436,CHEMBL1913533,BAO_0000357
776557,CHEMBL1913654,BAO_0000357
449279,CHEMBL899541,BAO_0000357
449280,CHEMBL899542,BAO_0000357
1840686,CHEMBL4340985,BAO_0000357
1840683,CHEMBL4340982,BAO_0000219
467618,CHEMBL930493,BAO_0000219
467617,CHEMBL930492,BAO_0000219
1838767,CHEMBL4338900,BAO_0000219
1838766,CHEMBL4338899,BAO_0000019
1503903,CHEMBL3593136,BAO_0000219
1503901,CHEMBL3593134,BAO_0000357
988579,CHEMBL2438530,BAO_0000019
988577,CHEMBL2438528,BAO_0000219
