AID,BAO,TID,SEQLEN,PROTEINCLASS
835304,BAO_0000219,11629,415,enzyme
429753,BAO_0000249,102,359,membrane receptor
754999,BAO_0000357,11082,400,enzyme
61481,BAO_0000219,72,443,membrane receptor
441418,BAO_0000219,219,590,membrane receptor
563406,BAO_0000357,10131,277,enzyme
1468595,BAO_0000219,72,443,membrane receptor
604538,BAO_0000357,11727,555,enzyme
594036,BAO_0000219,165,1159,ion channel
628226,BAO_0000219,10197,420,enzyme
325107,BAO_0000357,8,1130,enzyme
716996,BAO_0000357,11727,555,enzyme
628973,BAO_0000357,100217,233,ion channel
760546,BAO_0000357,10193,261,enzyme
588141,BAO_0000219,87,472,membrane receptor
741365,BAO_0000219,124,444,membrane receptor
950722,BAO_0000357,12252,501,enzyme
816922,BAO_0000219,107,471,membrane receptor
1450565,BAO_0000219,130,400,membrane receptor
305170,BAO_0000357,11575,374,membrane receptor
702784,BAO_0000357,10495,329,enzyme
479740,BAO_0000357,10498,333,enzyme
790969,BAO_0000357,194,488,enzyme
60685,BAO_0000357,90,419,membrane receptor
1349774,BAO_0000219,10544,373,membrane receptor
1441462,BAO_0000357,10919,1154,enzyme
479741,BAO_0000357,10378,339,enzyme
607466,BAO_0000357,11362,1068,enzyme
321550,BAO_0000219,11538,524,transporter
1520466,BAO_0000357,65,503,enzyme
665659,BAO_0000219,108,458,membrane receptor
743865,BAO_0000019,102767,553,transporter
321122,BAO_0000219,25,777,transcription factor
687106,BAO_0000357,126,604,enzyme
1467136,BAO_0000357,30011,857,enzyme
676021,BAO_0000357,101234,359,enzyme
940646,BAO_0000357,11451,1390,enzyme
196002,BAO_0000357,240,454,transcription factor
857728,BAO_0000219,10679,399,membrane receptor
977567,BAO_0000357,104106,491,enzyme
1453217,BAO_0000357,101598,509,enzyme
447434,BAO_0000357,259,360,membrane receptor
305151,BAO_0000357,11140,766,enzyme
643089,BAO_0000219,12666,480,enzyme
978965,BAO_0000357,11060,264,enzyme
1287541,BAO_0000357,11177,1044,enzyme
1497041,BAO_0000357,11755,537,enzyme
1524688,BAO_0000357,11638,360,enzyme
441417,BAO_0000219,47,466,membrane receptor
1460097,BAO_0000219,56,920,transcription factor
1525781,BAO_0000357,109917,824,enzyme
765399,BAO_0000357,11565,580,enzyme
424360,BAO_0000019,11442,847,enzyme
794927,BAO_0000219,280,318,membrane receptor
819835,BAO_0000357,104,520,enzyme
458590,BAO_0000219,134,418,membrane receptor
1283435,BAO_0000357,12209,354,enzyme
523500,BAO_0000357,163,468,transcription factor
776030,BAO_0000219,87,472,membrane receptor
597858,BAO_0000219,19905,422,membrane receptor
357152,BAO_0000219,72,443,membrane receptor
303748,BAO_0000219,118,328,membrane receptor
748115,BAO_0000357,12896,312,enzyme
652614,BAO_0000357,125,466,membrane receptor
343864,BAO_0000357,11534,331,enzyme
588778,BAO_0000357,20113,460,transcription factor
